frame,truth,target,Lip,bnd
26,83,71,0.0006580817752785431,1518.4388117580593
26,83,27,0.000657753475585359,1519.196699043376
26,83,80,0.0006579526406880518,1518.7368316488792
26,83,73,0.0006580840474949634,1518.4335689298605
26,83,82,0.0006581304101448352,1518.3266013702025
27,61,26,0.003134134661032847,318.41606914579467
27,61,64,0.003134362308280153,318.39294273776983
27,61,79,0.003133901659848411,318.43972391376633
27,61,0,0.0031340102427116776,318.4286910535257
27,61,34,0.003134620210005556,318.36670884241136
27,61,36,0.0031350559626096633,318.32243890632753
27,61,29,0.0031348158929319437,318.34681659482004
27,61,12,0.003133640295544694,318.4662266246551
27,61,25,0.003134115635034527,318.4179260539931
27,61,1,0.003135665215182072,318.2605705766141
28,83,0,0.0008282704624085586,1207.1703033522697
28,83,79,0.0008282741146190882,1207.1649804283545
28,83,27,0.0008283146065107387,1207.1059685587009
28,83,34,0.0008283301087006717,1207.0833775822323
28,83,82,0.0008283372124247433,1207.0730257748799
28,83,64,0.000828350177325379,1207.0541333037154
28,83,26,0.000828395711081293,1206.9877861370828
28,83,71,0.000828330980087289,1207.0821077561284
28,83,77,0.000828371272021233,1207.0233233935603
28,83,36,0.0008283794252374246,1207.0114434243046
29,83,0,3.403772801557924e-05,29378.684378394293
29,83,79,3.4038437670741285e-05,29378.07187275508
29,83,71,3.40432101512448e-05,29373.95339289902
29,83,82,3.404188998269169e-05,29375.092535572046
29,83,64,3.404632844568973e-05,29371.263040080597
29,83,62,3.404742124515078e-05,29370.32032843764
29,83,34,3.404953317352258e-05,29368.498629077643
29,83,74,3.40519003264059e-05,29366.45704768153
29,83,27,3.4053897028952665e-05,29364.735186611513
29,83,77,3.405946198204901e-05,29359.9373018391
30,83,0,3.348896113149093e-05,29860.10532902402
30,83,71,3.349834280593654e-05,29851.742593328963
30,83,79,3.349627484603742e-05,29853.585550699165
30,83,62,3.349496904743291e-05,29854.74939026852
30,83,64,3.3490316313408544e-05,29858.897043189358
30,83,5,3.34918791603855e-05,29857.503723729566
30,83,82,3.349715760000544e-05,29852.798816152335
30,83,74,3.349002415733127e-05,29859.1575224948
30,83,27,3.3518635486478815e-05,29833.669904292412
30,83,34,3.344069061507041e-05,29903.207390557207
